Candidate_ID,Age,Gender,Education_Level,Position_Applied,Industry,Interview_Round,Interview_Mode,Start_Time,End_Time,Duration_Minutes,Camera_On,Microphone_Clarity,Network_Stability_Score,Technical_Questions_Answered,Behavioral_Questions_Answered,Coding_Test_Score,Eye_Contact_Score,Body_Language_Score,Speech_Speed_WPM,Filler_Words_Used,Confidence_Score,Response_Relevance_Score,Interviewer_Rating,Background_Noise_Level,Follow_Up_Questions_Asked,Dressing_Appropriateness,Time_Management_Score,Final_Recommendation,Offer_Extended
C2072,30,Non-binary,PhD,UI/UX Designer,Tech,HR,Skype,14:00,14:45,34,Yes,Moderate,4.9,6,2,31,6,7,92,12,4,8,1.05,Low,2,Semi-Formal,2,Reject,No
C2073,26,Male,Bachelors,Project Manager,Tech,Technical,Google Meet,14:00,09:30,57,Yes,Moderate,6.01,8,2,8,3,1,140,9,8,9,3.8,High,2,Casual,2,Proceed,Yes
C2074,30,Male,Masters,Data Analyst,Finance,HR,Teams,15:30,09:30,30,No,Moderate,7.35,1,2,29,8,7,107,5,2,5,2.77,Medium,0,Semi-Formal,9,Proceed,No
C2075,26,Male,PhD,Data Analyst,Finance,Managerial,Google Meet,10:30,14:45,45,No,Clear,0.89,5,0,48,9,4,111,15,7,9,4.21,High,0,Semi-Formal,1,Reject,No
C2076,23,Female,Bachelors,Software Engineer,Tech,Technical,Google Meet,10:30,14:45,33,Yes,Poor,6.89,9,1,0,5,2,93,14,2,6,1.62,Medium,2,Semi-Formal,9,Reject,Yes
C2077,29,Non-binary,Bachelors,Data Analyst,Consulting,Technical,Google Meet,10:30,14:45,32,Yes,Poor,4.27,6,0,48,9,9,148,14,1,8,2.75,High,1,Semi-Formal,9,Reject,No
C2078,32,Non-binary,PhD,Data Analyst,Healthcare,HR,Skype,14:00,14:45,23,Yes,Moderate,9.3,1,1,95,8,8,112,3,9,5,4.27,High,2,Formal,4,Reject,No
C2079,27,Non-binary,PhD,Software Engineer,Finance,Final,Google Meet,14:00,14:45,56,No,Moderate,8.79,0,4,36,8,3,118,9,3,4,2.03,Low,0,Casual,7,Reject,Yes
C2080,24,Non-binary,Bachelors,Software Engineer,Tech,Managerial,Google Meet,10:30,09:30,52,Yes,Clear,7.53,2,1,61,2,1,136,8,6,6,2.88,Medium,0,Casual,5,Reject,Yes
C2081,29,Female,Bachelors,Data Analyst,Healthcare,Technical,Teams,15:30,12:45,33,Yes,Poor,7.33,4,3,17,8,5,142,11,2,7,3.49,High,1,Casual,3,Reject,No
C2082,24,Non-binary,PhD,Software Engineer,Tech,HR,Zoom,10:30,16:00,32,Yes,Poor,8.85,9,4,85,5,8,143,10,9,4,3.88,High,2,Formal,1,Proceed,No
C2083,23,Female,PhD,Project Manager,Education,Final,Skype,10:30,09:30,36,Yes,Clear,7.96,2,2,54,6,2,105,7,2,2,3.09,High,0,Semi-Formal,9,Hold,No
C2084,21,Non-binary,Bachelors,Project Manager,Consulting,Managerial,Zoom,09:00,14:45,58,Yes,Moderate,9.62,1,2,82,9,8,130,16,5,1,3.89,Low,2,Casual,1,Reject,Yes
C2085,24,Female,PhD,UI/UX Designer,Healthcare,Technical,Skype,14:00,12:45,25,No,Poor,8.63,9,4,15,2,9,148,14,5,4,4.01,High,1,Formal,5,Hold,No
C2086,33,Male,PhD,Project Manager,Tech,Technical,Teams,09:00,12:45,41,Yes,Moderate,3.29,9,0,84,1,6,132,2,6,4,4.33,Medium,0,Semi-Formal,5,Proceed,No
C2087,34,Male,Bachelors,Project Manager,Healthcare,HR,Zoom,09:00,16:00,42,Yes,Moderate,6.98,5,2,48,2,8,145,7,5,7,4.63,Low,1,Semi-Formal,4,Reject,Yes
C2088,23,Female,Bachelors,Project Manager,Education,Final,Zoom,12:00,11:00,56,No,Poor,8.66,7,1,63,2,9,134,11,8,4,3.81,Low,1,Semi-Formal,7,Reject,No
C2089,32,Female,PhD,Project Manager,Education,HR,Skype,09:00,11:00,55,Yes,Poor,8.1,3,2,56,8,8,114,10,9,8,4.59,Low,0,Casual,4,Reject,Yes
C2090,34,Female,Masters,Project Manager,Consulting,Final,Skype,15:30,11:00,54,Yes,Poor,6.23,1,2,38,7,5,115,18,9,1,1.24,Medium,2,Semi-Formal,2,Proceed,No
C2091,23,Female,PhD,Software Engineer,Tech,Final,Zoom,10:30,11:00,51,Yes,Poor,5.04,4,1,67,2,8,153,11,7,1,1.52,Low,0,Casual,6,Reject,No
C2092,26,Non-binary,PhD,UI/UX Designer,Tech,Managerial,Zoom,12:00,09:30,20,Yes,Poor,0.83,9,2,14,2,9,126,10,2,1,2.62,Medium,0,Semi-Formal,4,Reject,No
C2093,29,Non-binary,Masters,Software Engineer,Tech,HR,Google Meet,15:30,09:30,23,Yes,Moderate,3.2,7,1,11,9,3,104,6,3,5,1.67,High,0,Semi-Formal,8,Reject,Yes
C2094,21,Male,Masters,UI/UX Designer,Finance,Technical,Zoom,12:00,14:45,23,Yes,Poor,6.05,8,2,79,2,7,121,5,5,3,2.35,Low,2,Casual,3,Proceed,Yes
C2095,29,Male,Masters,UI/UX Designer,Consulting,Technical,Zoom,12:00,12:45,52,Yes,Clear,5.78,8,3,63,9,9,147,9,2,4,4.53,Low,2,Casual,2,Proceed,Yes
C2096,32,Non-binary,Masters,UI/UX Designer,Education,Managerial,Skype,12:00,09:30,53,Yes,Clear,7.5,3,1,92,6,2,149,5,8,2,1.49,Medium,1,Semi-Formal,3,Proceed,No
C2097,22,Female,PhD,Software Engineer,Consulting,Final,Zoom,09:00,09:30,49,Yes,Clear,8.76,2,2,88,1,6,97,19,4,5,3.54,High,1,Casual,8,Proceed,Yes
C2098,31,Female,Masters,Software Engineer,Finance,Managerial,Google Meet,15:30,16:00,58,Yes,Poor,5.62,0,0,76,6,7,142,13,7,5,1.92,Medium,1,Casual,3,Hold,No
C2099,34,Female,Bachelors,Software Engineer,Tech,Managerial,Zoom,12:00,09:30,34,No,Clear,6.43,9,3,19,1,9,159,13,5,5,2.97,Low,1,Casual,9,Reject,No
C2100,32,Non-binary,PhD,Project Manager,Education,HR,Teams,12:00,11:00,51,No,Moderate,4.26,9,3,33,6,7,134,14,9,5,2.58,Low,2,Formal,4,Proceed,Yes
C2101,23,Non-binary,Bachelors,Data Analyst,Tech,Final,Skype,10:30,09:30,45,No,Poor,0.59,2,0,18,1,6,97,17,3,1,4.46,High,2,Formal,8,Hold,Yes
C2102,33,Male,Bachelors,UI/UX Designer,Finance,Technical,Skype,09:00,11:00,58,Yes,Moderate,3.27,8,3,74,6,6,153,1,4,4,3.16,Low,0,Formal,5,Hold,No
C2103,29,Male,PhD,Data Analyst,Finance,HR,Zoom,14:00,09:30,27,No,Clear,5.4,4,1,92,3,8,92,6,6,6,4.29,Low,0,Formal,7,Hold,Yes
C2104,28,Male,PhD,UI/UX Designer,Tech,Technical,Teams,15:30,14:45,45,No,Clear,4.93,4,3,91,6,9,153,2,7,8,2.66,Low,1,Semi-Formal,7,Hold,Yes
C2105,29,Non-binary,PhD,Software Engineer,Tech,Managerial,Google Meet,10:30,14:45,36,Yes,Clear,5.63,1,4,18,3,9,142,9,8,8,3.65,High,2,Formal,7,Reject,No
C2106,28,Non-binary,Masters,UI/UX Designer,Healthcare,Final,Google Meet,14:00,16:00,49,No,Poor,6.25,4,2,81,6,6,127,2,8,6,4.64,High,1,Casual,7,Proceed,Yes
C2107,26,Non-binary,Masters,Data Analyst,Education,Technical,Zoom,14:00,12:45,54,Yes,Moderate,0.69,2,3,48,6,1,144,10,1,7,1.59,Low,2,Formal,8,Reject,Yes
C2108,30,Female,Bachelors,Data Analyst,Education,Technical,Zoom,15:30,16:00,31,Yes,Poor,0.12,8,2,28,7,4,143,10,6,1,3.24,Low,1,Formal,6,Hold,No
C2109,29,Male,PhD,UI/UX Designer,Consulting,Managerial,Zoom,15:30,09:30,25,No,Poor,2.28,1,2,19,6,8,125,12,1,7,3.53,High,2,Semi-Formal,2,Hold,Yes
C2110,33,Male,Bachelors,UI/UX Designer,Consulting,Final,Zoom,14:00,09:30,48,No,Moderate,5.38,0,1,27,6,4,132,13,1,4,3.47,Low,2,Casual,4,Reject,No
C2111,23,Male,Bachelors,Project Manager,Finance,Managerial,Google Meet,09:00,09:30,33,No,Poor,3.4,4,1,7,6,5,121,19,4,1,3.21,Low,2,Formal,3,Hold,Yes
C2112,24,Female,Masters,Project Manager,Education,Technical,Zoom,15:30,09:30,20,No,Clear,5.82,7,3,39,9,3,149,18,9,8,4.18,Low,0,Casual,2,Reject,Yes
C2113,21,Non-binary,PhD,Data Analyst,Finance,HR,Zoom,12:00,11:00,46,No,Clear,6.38,0,4,45,7,2,159,5,2,7,1.23,Medium,1,Semi-Formal,8,Hold,No
C2114,32,Male,Masters,Project Manager,Tech,Final,Zoom,09:00,12:45,58,No,Clear,1.75,8,4,55,8,3,109,13,4,8,3.65,Medium,2,Formal,5,Proceed,Yes
C2115,27,Male,Masters,Project Manager,Education,Final,Zoom,15:30,14:45,25,Yes,Poor,5.87,6,1,98,2,6,115,16,6,1,4.54,Medium,2,Casual,7,Proceed,Yes
C2116,22,Female,Masters,Data Analyst,Finance,Final,Skype,12:00,12:45,52,No,Poor,9.96,8,1,68,3,8,108,10,8,8,4.66,High,0,Casual,5,Hold,Yes
C2117,21,Male,Masters,UI/UX Designer,Healthcare,Managerial,Zoom,15:30,11:00,50,Yes,Clear,9.62,6,0,40,2,4,107,13,2,1,1.71,Medium,0,Casual,8,Proceed,Yes
C2118,28,Female,PhD,Project Manager,Healthcare,Managerial,Google Meet,15:30,09:30,56,Yes,Poor,3.53,3,2,88,5,4,119,0,1,9,3.41,Medium,2,Semi-Formal,1,Hold,No
C2119,30,Male,Masters,Software Engineer,Education,HR,Skype,09:00,11:00,51,No,Clear,2.04,7,2,83,8,4,125,15,3,7,2.12,High,2,Casual,7,Proceed,Yes
C2120,31,Female,Bachelors,Software Engineer,Education,HR,Google Meet,12:00,14:45,52,No,Clear,9.06,6,2,70,5,4,131,7,1,8,3.89,Low,0,Semi-Formal,1,Reject,No
C2121,31,Non-binary,Masters,UI/UX Designer,Consulting,HR,Skype,14:00,12:45,39,No,Poor,7.52,5,0,27,2,8,113,8,1,5,1.32,Medium,2,Formal,8,Hold,Yes
C2122,33,Female,Masters,Data Analyst,Education,HR,Zoom,10:30,09:30,24,Yes,Moderate,2.37,2,2,24,2,3,122,18,5,6,1.5,High,2,Casual,6,Hold,No
C2123,29,Non-binary,Masters,Data Analyst,Consulting,Final,Zoom,14:00,16:00,36,No,Moderate,3.32,0,4,55,2,1,159,4,9,4,3.69,Medium,1,Semi-Formal,5,Proceed,No
C2124,24,Male,PhD,Software Engineer,Healthcare,Managerial,Teams,12:00,14:45,52,Yes,Clear,4.31,2,2,57,4,5,123,5,7,9,3.19,Medium,2,Formal,4,Hold,Yes
C2125,29,Non-binary,Masters,Project Manager,Healthcare,Final,Skype,10:30,09:30,42,Yes,Clear,3.91,6,1,91,5,1,152,18,5,8,4.58,Medium,1,Formal,3,Hold,Yes
C2126,23,Male,Masters,Data Analyst,Healthcare,HR,Teams,09:00,16:00,25,No,Poor,6.15,6,0,76,6,6,139,10,4,2,1.11,Low,0,Semi-Formal,4,Hold,Yes
C2127,28,Male,Bachelors,Project Manager,Tech,HR,Skype,10:30,14:45,48,No,Poor,7.24,7,3,93,7,5,98,13,5,7,3.81,Medium,0,Semi-Formal,8,Reject,Yes
C2128,30,Non-binary,Masters,Project Manager,Education,HR,Skype,09:00,09:30,57,No,Poor,9.0,0,1,71,8,6,124,7,5,7,3.86,Medium,2,Formal,5,Reject,No
C2129,25,Male,Masters,UI/UX Designer,Healthcare,Final,Zoom,09:00,16:00,23,No,Clear,1.76,9,0,66,5,5,123,14,5,7,4.32,Low,1,Semi-Formal,1,Reject,No
C2130,32,Male,PhD,Data Analyst,Consulting,Final,Zoom,14:00,09:30,57,Yes,Clear,3.66,9,2,79,3,3,121,18,2,3,4.08,Medium,2,Formal,8,Hold,Yes
C2131,22,Non-binary,Masters,Software Engineer,Consulting,Technical,Skype,10:30,12:45,26,Yes,Poor,7.5,7,2,79,5,9,127,8,7,2,3.08,Medium,2,Casual,3,Hold,Yes
C2132,32,Male,Masters,Software Engineer,Finance,Managerial,Teams,09:00,12:45,34,No,Moderate,6.96,4,4,86,1,1,144,12,8,1,2.15,High,1,Casual,1,Reject,No
C2133,25,Non-binary,Masters,Software Engineer,Finance,Managerial,Teams,10:30,16:00,40,Yes,Moderate,8.99,9,2,9,7,7,134,9,5,8,2.58,Medium,1,Semi-Formal,3,Reject,No
C2134,26,Non-binary,Bachelors,UI/UX Designer,Tech,HR,Skype,12:00,12:45,35,Yes,Moderate,7.09,3,2,5,8,3,91,6,2,1,3.09,High,0,Semi-Formal,7,Hold,No
C2135,25,Male,Masters,UI/UX Designer,Consulting,Managerial,Skype,14:00,12:45,25,No,Clear,1.15,5,2,82,6,2,154,10,8,2,1.02,Medium,0,Semi-Formal,8,Proceed,Yes
C2136,27,Female,PhD,Software Engineer,Finance,HR,Zoom,12:00,14:45,32,No,Poor,7.2,5,2,37,6,6,144,10,7,6,1.36,High,2,Semi-Formal,9,Proceed,Yes
