Candidate_ID,Age,Gender,Education_Level,Position_Applied,Industry,Interview_Round,Interview_Mode,Start_Time,End_Time,Duration_Minutes,Camera_On,Microphone_Clarity,Network_Stability_Score,Technical_Questions_Answered,Behavioral_Questions_Answered,Coding_Test_Score,Eye_Contact_Score,Body_Language_Score,Speech_Speed_WPM,Filler_Words_Used,Confidence_Score,Response_Relevance_Score,Interviewer_Rating,Background_Noise_Level,Follow_Up_Questions_Asked,Dressing_Appropriateness,Time_Management_Score,Final_Recommendation,Offer_Extended,Performance_Score_Proxy,Performance_Category
C2074,30,Male,Masters,Data Analyst,Finance,HR,Teams,15:30,09:30,30,No,Moderate,7.35,1,2,29,8,7,107,5,2,5,2.77,Medium,0,Semi-Formal,9,Proceed,No,15.12,Good
C2075,26,Male,PhD,Data Analyst,Finance,Managerial,Google Meet,10:30,14:45,45,No,Clear,0.89,5,0,48,9,4,111,15,7,9,4.21,High,0,Semi-Formal,1,Reject,No,17.6,Good
C2076,23,Female,Bachelors,Software Engineer,Tech,Technical,Google Meet,10:30,14:45,33,Yes,Poor,6.89,9,1,0,5,2,93,14,2,6,1.62,Medium,2,Semi-Formal,9,Reject,Yes,13.57,Good
C2077,29,Non-binary,Bachelors,Data Analyst,Consulting,Technical,Google Meet,10:30,14:45,32,Yes,Poor,4.27,6,0,48,9,9,148,14,1,8,2.75,High,1,Semi-Formal,9,Reject,No,17.87,Good
C2078,32,Non-binary,PhD,Data Analyst,Healthcare,HR,Skype,14:00,14:45,23,Yes,Moderate,9.3,1,1,95,8,8,112,3,9,5,4.27,High,2,Formal,4,Reject,No,23.0,Excellent
C2079,27,Non-binary,PhD,Software Engineer,Finance,Final,Google Meet,14:00,14:45,56,No,Moderate,8.79,0,4,36,8,3,118,9,3,4,2.03,Low,0,Casual,7,Reject,Yes,13.76,Good
C2080,24,Non-binary,Bachelors,Software Engineer,Tech,Managerial,Google Meet,10:30,09:30,52,Yes,Clear,7.53,2,1,61,2,1,136,8,6,6,2.88,Medium,0,Casual,5,Reject,Yes,14.32,Good
C2081,29,Female,Bachelors,Data Analyst,Healthcare,Technical,Teams,15:30,12:45,33,Yes,Poor,7.33,4,3,17,8,5,142,11,2,7,3.49,High,1,Casual,3,Reject,No,15.99,Good
C2082,24,Non-binary,PhD,Software Engineer,Tech,HR,Zoom,10:30,16:00,32,Yes,Poor,8.85,9,4,85,5,8,143,10,9,4,3.88,High,2,Formal,1,Proceed,No,23.97,Excellent
C2083,23,Female,PhD,Project Manager,Education,Final,Skype,10:30,09:30,36,Yes,Clear,7.96,2,2,54,6,2,105,7,2,2,3.09,High,0,Semi-Formal,9,Hold,No,14.98,Good
C2084,21,Non-binary,Bachelors,Project Manager,Consulting,Managerial,Zoom,09:00,14:45,58,Yes,Moderate,9.62,1,2,82,9,8,130,16,5,1,3.89,Low,2,Casual,1,Reject,Yes,16.2,Good
C2085,24,Female,PhD,UI/UX Designer,Healthcare,Technical,Skype,14:00,12:45,25,No,Poor,8.63,9,4,15,2,9,148,14,5,4,4.01,High,1,Formal,5,Hold,No,18.06,Good
C2086,33,Male,PhD,Project Manager,Tech,Technical,Teams,09:00,12:45,41,Yes,Moderate,3.29,9,0,84,1,6,132,2,6,4,4.33,Medium,0,Semi-Formal,5,Proceed,No,19.18,Good
C2087,34,Male,Bachelors,Project Manager,Healthcare,HR,Zoom,09:00,16:00,42,Yes,Moderate,6.98,5,2,48,2,8,145,7,5,7,4.63,Low,1,Semi-Formal,4,Reject,Yes,18.54,Good
C2088,23,Female,Bachelors,Project Manager,Education,Final,Zoom,12:00,11:00,56,No,Poor,8.66,7,1,63,2,9,134,11,8,4,3.81,Low,1,Semi-Formal,7,Reject,No,18.91,Good
C2089,32,Female,PhD,Project Manager,Education,HR,Skype,09:00,11:00,55,Yes,Poor,8.1,3,2,56,8,8,114,10,9,8,4.59,Low,0,Casual,4,Reject,Yes,21.38,Excellent
C2090,34,Female,Masters,Project Manager,Consulting,Final,Skype,15:30,11:00,54,Yes,Poor,6.23,1,2,38,7,5,115,18,9,1,1.24,Medium,2,Semi-Formal,2,Proceed,No,12.72,Good
C2091,23,Female,PhD,Software Engineer,Tech,Final,Zoom,10:30,11:00,51,Yes,Poor,5.04,4,1,67,2,8,153,11,7,1,1.52,Low,0,Casual,6,Reject,No,13.26,Good
C2092,26,Non-binary,PhD,UI/UX Designer,Tech,Managerial,Zoom,12:00,09:30,20,Yes,Poor,0.83,9,2,14,2,9,126,10,2,1,2.62,Medium,0,Semi-Formal,4,Reject,No,11.86,Needs Improvement
C2093,29,Non-binary,Masters,Software Engineer,Tech,HR,Google Meet,15:30,09:30,23,Yes,Moderate,3.2,7,1,11,9,3,104,6,3,5,1.67,High,0,Semi-Formal,8,Reject,Yes,14.47,Good
C2094,21,Male,Masters,UI/UX Designer,Finance,Technical,Zoom,12:00,14:45,23,Yes,Poor,6.05,8,2,79,2,7,121,5,5,3,2.35,Low,2,Casual,3,Proceed,Yes,17.39,Good
C2095,29,Male,Masters,UI/UX Designer,Consulting,Technical,Zoom,12:00,12:45,52,Yes,Clear,5.78,8,3,63,9,9,147,9,2,4,4.53,Low,2,Casual,2,Proceed,Yes,20.39,Excellent
C2096,32,Non-binary,Masters,UI/UX Designer,Education,Managerial,Skype,12:00,09:30,53,Yes,Clear,7.5,3,1,92,6,2,149,5,8,2,1.49,Medium,1,Semi-Formal,3,Proceed,No,15.72,Good
C2097,22,Female,PhD,Software Engineer,Consulting,Final,Zoom,09:00,09:30,49,Yes,Clear,8.76,2,2,88,1,6,97,19,4,5,3.54,High,1,Casual,8,Proceed,Yes,17.31,Good
C2098,31,Female,Masters,Software Engineer,Finance,Managerial,Google Meet,15:30,16:00,58,Yes,Poor,5.62,0,0,76,6,7,142,13,7,5,1.92,Medium,1,Casual,3,Hold,No,14.06,Good
C2099,34,Female,Bachelors,Software Engineer,Tech,Managerial,Zoom,12:00,09:30,34,No,Clear,6.43,9,3,19,1,9,159,13,5,5,2.97,Low,1,Casual,9,Reject,No,17.42,Good
C2100,32,Non-binary,PhD,Project Manager,Education,HR,Teams,12:00,11:00,51,No,Moderate,4.26,9,3,33,6,7,134,14,9,5,2.58,Low,2,Formal,4,Proceed,Yes,19.22,Good
C2101,23,Non-binary,Bachelors,Data Analyst,Tech,Final,Skype,10:30,09:30,45,No,Poor,0.59,2,0,18,1,6,97,17,3,1,4.46,High,2,Formal,8,Hold,Yes,9.62,Needs Improvement
C2102,33,Male,Bachelors,UI/UX Designer,Finance,Technical,Skype,09:00,11:00,58,Yes,Moderate,3.27,8,3,74,6,6,153,1,4,4,3.16,Low,0,Formal,5,Hold,No,18.6,Good
C2103,29,Male,PhD,Data Analyst,Finance,HR,Zoom,14:00,09:30,27,No,Clear,5.4,4,1,92,3,8,92,6,6,6,4.29,Low,0,Formal,7,Hold,Yes,19.34,Good
C2104,28,Male,PhD,UI/UX Designer,Tech,Technical,Teams,15:30,14:45,45,No,Clear,4.93,4,3,91,6,9,153,2,7,8,2.66,Low,1,Semi-Formal,7,Hold,Yes,22.94,Excellent
C2105,29,Non-binary,PhD,Software Engineer,Tech,Managerial,Google Meet,10:30,14:45,36,Yes,Clear,5.63,1,4,18,3,9,142,9,8,8,3.65,High,2,Formal,7,Reject,No,20.82,Excellent
C2106,28,Non-binary,Masters,UI/UX Designer,Healthcare,Final,Google Meet,14:00,16:00,49,No,Poor,6.25,4,2,81,6,6,127,2,8,6,4.64,High,1,Casual,7,Proceed,Yes,22.68,Excellent
C2107,26,Non-binary,Masters,Data Analyst,Education,Technical,Zoom,14:00,12:45,54,Yes,Moderate,0.69,2,3,48,6,1,144,10,1,7,1.59,Low,2,Formal,8,Reject,Yes,13.11,Good
C2108,30,Female,Bachelors,Data Analyst,Education,Technical,Zoom,15:30,16:00,31,Yes,Poor,0.12,8,2,28,7,4,143,10,6,1,3.24,Low,1,Formal,6,Hold,No,14.68,Good
C2109,29,Male,PhD,UI/UX Designer,Consulting,Managerial,Zoom,15:30,09:30,25,No,Poor,2.28,1,2,19,6,8,125,12,1,7,3.53,High,2,Semi-Formal,2,Hold,Yes,13.05,Good
C2110,33,Male,Bachelors,UI/UX Designer,Consulting,Final,Zoom,14:00,09:30,48,No,Moderate,5.38,0,1,27,6,4,132,13,1,4,3.47,Low,2,Casual,4,Reject,No,10.23,Needs Improvement
C2111,23,Male,Bachelors,Project Manager,Finance,Managerial,Google Meet,09:00,09:30,33,No,Poor,3.4,4,1,7,6,5,121,19,4,1,3.21,Low,2,Formal,3,Hold,Yes,9.72,Needs Improvement
C2112,24,Female,Masters,Project Manager,Education,Technical,Zoom,15:30,09:30,20,No,Clear,5.82,7,3,39,9,3,149,18,9,8,4.18,Low,0,Casual,2,Reject,Yes,19.04,Good
C2113,21,Non-binary,PhD,Data Analyst,Finance,HR,Zoom,12:00,11:00,46,No,Clear,6.38,0,4,45,7,2,159,5,2,7,1.23,Medium,1,Semi-Formal,8,Hold,No,14.64,Good
C2114,32,Male,Masters,Project Manager,Tech,Final,Zoom,09:00,12:45,58,No,Clear,1.75,8,4,55,8,3,109,13,4,8,3.65,Medium,2,Formal,5,Proceed,Yes,20.28,Excellent
C2115,27,Male,Masters,Project Manager,Education,Final,Zoom,15:30,14:45,25,Yes,Poor,5.87,6,1,98,2,6,115,16,6,1,4.54,Medium,2,Casual,7,Proceed,Yes,18.11,Good
C2116,22,Female,Masters,Data Analyst,Finance,Final,Skype,12:00,12:45,52,No,Poor,9.96,8,1,68,3,8,108,10,8,8,4.66,High,0,Casual,5,Hold,Yes,22.23,Excellent
C2117,21,Male,Masters,UI/UX Designer,Healthcare,Managerial,Zoom,15:30,11:00,50,Yes,Clear,9.62,6,0,40,2,4,107,13,2,1,1.71,Medium,0,Casual,8,Proceed,Yes,11.18,Needs Improvement
C2118,28,Female,PhD,Project Manager,Healthcare,Managerial,Google Meet,15:30,09:30,56,Yes,Poor,3.53,3,2,88,5,4,119,0,1,9,3.41,Medium,2,Semi-Formal,1,Hold,No,17.69,Good
C2119,30,Male,Masters,Software Engineer,Education,HR,Skype,09:00,11:00,51,No,Clear,2.04,7,2,83,8,4,125,15,3,7,2.12,High,2,Casual,7,Proceed,Yes,18.81,Good
C2120,31,Female,Bachelors,Software Engineer,Education,HR,Google Meet,12:00,14:45,52,No,Clear,9.06,6,2,70,5,4,131,7,1,8,3.89,Low,0,Semi-Formal,1,Reject,No,16.57,Good
C2121,31,Non-binary,Masters,UI/UX Designer,Consulting,HR,Skype,14:00,12:45,39,No,Poor,7.52,5,0,27,2,8,113,8,1,5,1.32,Medium,2,Formal,8,Hold,Yes,12.84,Good
C2122,33,Female,Masters,Data Analyst,Education,HR,Zoom,10:30,09:30,24,Yes,Moderate,2.37,2,2,24,2,3,122,18,5,6,1.5,High,2,Casual,6,Hold,No,11.78,Needs Improvement
C2123,29,Non-binary,Masters,Data Analyst,Consulting,Final,Zoom,14:00,16:00,36,No,Moderate,3.32,0,4,55,2,1,159,4,9,4,3.69,Medium,1,Semi-Formal,5,Proceed,No,15.73,Good
C2124,24,Male,PhD,Software Engineer,Healthcare,Managerial,Teams,12:00,14:45,52,Yes,Clear,4.31,2,2,57,4,5,123,5,7,9,3.19,Medium,2,Formal,4,Hold,Yes,19.58,Good
C2125,29,Non-binary,Masters,Project Manager,Healthcare,Final,Skype,10:30,09:30,42,Yes,Clear,3.91,6,1,91,5,1,152,18,5,8,4.58,Medium,1,Formal,3,Hold,Yes,18.5,Good
C2126,23,Male,Masters,Data Analyst,Healthcare,HR,Teams,09:00,16:00,25,No,Poor,6.15,6,0,76,6,6,139,10,4,2,1.11,Low,0,Semi-Formal,4,Hold,Yes,12.24,Good
